Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use_Chip,Exp_Type,Interest_Earned,Delinquent_Acc,Total_Revenue
708082083,Blue,200,0,87,01/01/23,Week-1,Q1,2023,3544,1661,15149,111,0.469,Chip ,Travel,4393.21,0,#NAME?
708083283,Blue,445,1,108,01/01/23,Week-1,Q1,2023,3421,2517,992,21,0.736,Swipe ,Entertainment,69.44,0,3031.44
708084558,Blue,140,0,106,01/01/23,Week-1,Q1,2023,8258,1771,1447,23,0.214,Chip ,Bills,202.58,0,2113.58
708085458,Blue,250,1,150,01/01/23,Week-1,Q1,2023,1438.3,0,3940,82,0,Online ,Grocery,236.4,0,486.4
708086958,Blue,320,1,106,01/01/23,Week-1,Q1,2023,3128,749,4369,59,0.239,Swipe ,Fuel,1004.87,1,2073.87
708095133,Blue,100,0,94,01/01/23,Week-1,Q1,2023,33304,1833,1448,29,0.055,Swipe ,Bills,275.12,0,2208.12
708098133,Blue,225,1,75,01/01/23,Week-1,Q1,2023,2834,1418,1598,39,0.5,Swipe ,Bills,159.8,1,1802.8
708099183,Blue,400,1,75,01/01/23,Week-1,Q1,2023,5723,1873,2732,63,0.327,Swipe ,Grocery,409.8,0,2682.8
708100533,Blue,200,1,64,01/01/23,Week-1,Q1,2023,2679,2277,4943,85,0.85,Chip ,Food,988.6,0,3465.6
708103608,Platinum,95,1,80,01/01/23,Week-1,Q1,2023,11898,2517,15798,128,0.212,Chip ,Grocery,3791.52,0,6403.52
708104658,Blue,455,1,118,01/01/23,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732,0,2077
708108333,Blue,485,0,86,01/01/23,Week-1,Q1,2023,5590,0,1507,32,0,Swipe ,Entertainment,150.7,0,635.7
708112008,Blue,440,1,86,01/01/23,Week-1,Q1,2023,23510,1049,1661,35,0.045,Swipe ,Grocery,465.08,0,1954.08
708113208,Blue,300,1,149,01/01/23,Week-1,Q1,2023,1688,0,4375,69,0,Chip ,Fuel,525,0,825
708117933,Blue,360,0,70,01/01/23,Week-1,Q1,2023,1880,0,2469,34,0,Chip ,Bills,419.73,1,779.73
708119658,Blue,340,0,44,01/01/23,Week-1,Q1,2023,12836,1034,2519,53,0.081,Swipe ,Bills,554.18,0,1928.18
708121908,Blue,405,0,71,01/01/23,Week-1,Q1,2023,22917,0,2045,45,0,Swipe ,Grocery,265.85,0,670.85
708123033,Silver,355,0,78,01/01/23,Week-1,Q1,2023,11463,0,14511,105,0,Swipe ,Fuel,3047.31,0,3402.31
708125733,Blue,220,0,69,01/01/23,Week-1,Q1,2023,1438.3,0,4311,77,0,Swipe ,Entertainment,1207.08,0,1427.08
708128733,Blue,125,1,105,01/01/23,Week-1,Q1,2023,1814,0,5014,99,0,Swipe ,Entertainment,1303.64,0,1428.64
708129933,Blue,350,1,77,01/01/23,Week-1,Q1,2023,2072,1544,4210,64,0.745,Chip ,Entertainment,884.1,0,2778.1
708132783,Blue,250,1,92,01/01/23,Week-1,Q1,2023,16411,1179,3929,71,0.072,Swipe ,Food,785.8,1,2214.8
708134283,Blue,125,1,101,01/01/23,Week-1,Q1,2023,3131,629,1483,31,0.201,Swipe ,Food,311.43,0,1065.43
708136908,Blue,110,1,73,01/01/23,Week-1,Q1,2023,2616,801,4655,68,0.306,Swipe ,Entertainment,605.15,0,1516.15
708139833,Blue,460,0,111,01/01/23,Week-1,Q1,2023,6391,0,2323,44,0,Swipe ,Grocery,441.37,0,901.37
708145908,Blue,320,0,78,01/01/23,Week-1,Q1,2023,4906,2185,3999,71,0.445,Swipe ,Bills,959.76,0,3464.76
708147108,Blue,320,0,112,01/01/23,Week-1,Q1,2023,21084,2517,2309,71,0.119,Swipe ,Travel,277.08,0,3114.08
708148158,Blue,175,0,73,01/01/23,Week-1,Q1,2023,1827,0,4207,86,0,Swipe ,Fuel,925.54,0,1100.54
708151008,Blue,440,1,86,01/01/23,Week-1,Q1,2023,6250,644,2433,41,0.103,Swipe ,Fuel,486.6,0,1570.6
708152358,Blue,335,1,101,01/01/23,Week-1,Q1,2023,18512,1664,8019,57,0.09,Swipe ,Food,721.71,0,2720.71
708153558,Blue,375,0,150,01/01/23,Week-1,Q1,2023,34516,1802,7936,101,0.052,Swipe ,Fuel,634.88,0,2811.88
708154833,Blue,250,0,82,01/01/23,Week-1,Q1,2023,1438.3,811,2336,46,0.564,Chip ,Fuel,630.72,0,1691.72
708155733,Blue,335,0,88,01/01/23,Week-1,Q1,2023,14734,1634,1289,23,0.111,Swipe ,Bills,296.47,0,2265.47
708158133,Blue,110,1,131,01/01/23,Week-1,Q1,2023,3031,2517,2188,50,0.83,Swipe ,Bills,350.08,1,2977.08
708160008,Blue,375,1,96,01/01/23,Week-1,Q1,2023,34516,1058,7412,84,0.031,Swipe ,Bills,1927.12,0,3360.12
708161133,Blue,150,1,99,01/01/23,Week-1,Q1,2023,6629,1389,3891,69,0.21,Swipe ,Fuel,466.92,0,2005.92
708162558,Blue,420,0,88,01/01/23,Week-1,Q1,2023,3250,1992,1355,36,0.613,Swipe ,Entertainment,189.7,1,2601.7
708163758,Platinum,470,0,158,01/01/23,Week-1,Q1,2023,34516,638,13085,139,0.018,Swipe ,Bills,2355.3,0,3463.3
708170508,Blue,250,0,72,01/01/23,Week-1,Q1,2023,1438.3,0,1651,42,0,Swipe ,Entertainment,462.28,0,712.28
708171858,Blue,100,1,104,01/01/23,Week-1,Q1,2023,1864,1081,2607,44,0.58,Swipe ,Fuel,312.84,0,1493.84
708173433,Blue,285,0,40,01/01/23,Week-1,Q1,2023,5645,2324,2482,57,0.412,Swipe ,Food,496.4,0,3105.4
708174708,Blue,175,1,69,01/01/23,Week-1,Q1,2023,5535,1276,1764,38,0.231,Swipe ,Fuel,194.04,0,1645.04
708176208,Blue,465,1,89,01/01/23,Week-1,Q1,2023,7268,0,4199,80,0,Swipe ,Food,587.86,0,1052.86
708177333,Silver,460,1,107,01/01/23,Week-1,Q1,2023,11261,2485,1158,26,0.221,Swipe ,Bills,243.18,0,3188.18
708178608,Blue,300,0,111,01/01/23,Week-1,Q1,2023,2488,0,4226,73,0,Chip ,Grocery,253.56,0,553.56
708185208,Blue,110,1,74,01/01/23,Week-1,Q1,2023,3178,1118,2010,31,0.352,Swipe ,Bills,180.9,0,1408.9
708186933,Blue,195,1,102,01/01/23,Week-1,Q1,2023,1819,725,2254,45,0.399,Swipe ,Bills,270.48,0,1190.48
708190158,Blue,175,0,113,01/01/23,Week-1,Q1,2023,2920,2426,2750,41,0.831,Swipe ,Food,632.5,0,3233.5
708193008,Blue,340,0,148,01/01/23,Week-1,Q1,2023,14480,0,1616,43,0,Online ,Entertainment,387.84,0,727.84
708195633,Silver,110,1,70,01/01/23,Week-1,Q1,2023,34516,1182,2440,54,0.034,Online ,Entertainment,488,0,1780
708197358,Blue,225,0,111,01/01/23,Week-1,Q1,2023,30543,264,7784,63,0.009,Online ,Food,622.72,1,1111.72
708204033,Blue,295,0,86,01/01/23,Week-1,Q1,2023,2980,2093,4132,70,0.702,Chip ,Travel,826.4,1,3214.4
708205083,Blue,125,1,151,01/01/23,Week-1,Q1,2023,1438.3,0,4815,81,0,Chip ,Travel,337.05,1,462.05
708207783,Blue,355,1,107,01/01/23,Week-1,Q1,2023,1477,0,4680,80,0,Swipe ,Entertainment,514.8,1,869.8
708208758,Blue,275,1,85,01/01/23,Week-1,Q1,2023,1826,883,2199,48,0.484,Swipe ,Fuel,571.74,1,1729.74
708211383,Blue,200,0,111,01/01/23,Week-1,Q1,2023,2664,0,3906,74,0,Online ,Fuel,1054.62,1,1254.62
